individual,species,population,year,predator,bodylength,abdomenlength,seg10width,seg9width,seg8width,seg7width,seg6width,seg5width,seg4width,seg3width,seg2width,seg10length,seg9length,seg8length,seg7length,seg6length,seg5length,seg4length,seg3length,seg2length,ventralarea
384,albifrons,saevasjoen,2013,invertebrate,20.521,11.736,1.407,3.179,5.272,6.873,7.100,6.795,6.131,5.328,4.453,0.209,1.277,1.446,1.578,1.579,1.560,1.237,1.046,0.875,68.184
385,albifrons,saevasjoen,2013,invertebrate,21.187,12.740,1.531,3.314,5.628,7.157,7.687,7.569,6.941,5.884,4.942,0.471,1.569,1.588,1.765,1.784,1.550,1.353,1.137,0.824,80.632
386,albifrons,saevasjoen,2013,invertebrate,19.933,11.766,1.586,3.230,5.404,6.990,7.440,7.361,6.696,5.855,4.641,0.196,1.449,1.527,1.586,1.646,1.489,1.295,0.979,0.881,72.506
387,albifrons,saevasjoen,2013,invertebrate,18.945,11.276,1.527,3.187,5.185,6.599,6.903,6.736,6.170,5.379,4.477,0.245,1.359,1.490,1.622,1.588,1.492,1.207,0.924,0.739,65.499
388,albifrons,saevasjoen,2013,invertebrate,20.581,12.056,1.493,3.398,5.696,7.324,7.698,7.521,6.913,5.988,5.086,0.196,1.434,1.532,1.748,1.669,1.591,1.435,1.041,0.767,77.867
389,pectoralis,saevasjoen,2013,invertebrate,20.861,12.867,1.703,3.197,5.819,7.448,8.023,7.927,7.356,6.245,5.307,0.441,1.218,1.473,1.600,1.563,1.454,1.200,0.946,0.820,84.494
390,albifrons,saevasjoen,2013,invertebrate,20.910,12.504,1.640,3.380,5.666,7.166,7.618,7.519,7.010,5.914,4.957,0.468,1.584,1.542,1.661,1.681,1.602,1.348,1.074,0.839,78.685
391,albifrons,saevasjoen,2013,invertebrate,21.942,13.477,1.623,3.267,5.661,7.165,7.562,7.442,6.829,5.818,4.949,0.495,1.425,1.603,1.761,1.682,1.642,1.357,1.168,0.919,83.144
392,albifrons,saevasjoen,2013,invertebrate,22.069,13.285,1.479,3.238,5.252,6.579,6.890,6.791,6.318,5.447,4.835,0.473,1.362,1.598,1.737,1.718,1.598,1.461,1.132,0.810,76.244
393,pectoralis,saevasjoen,2013,invertebrate,22.130,13.505,1.653,3.061,5.579,7.267,7.809,7.769,7.225,6.083,5.172,0.351,1.466,1.705,1.742,1.650,1.595,1.394,1.100,0.898,86.998
394,albifrons,saevasjoen,2013,invertebrate,19.682,11.628,1.472,3.194,5.397,7.024,7.577,7.442,6.886,5.869,4.894,0.420,1.357,1.567,1.586,1.529,1.454,1.247,0.956,0.746,71.758
395,albifrons,saevasjoen,2013,invertebrate,18.539,10.899,1.591,3.158,5.374,6.943,7.362,7.228,6.566,5.608,4.582,0.196,1.269,1.522,1.597,1.578,1.424,1.250,0.906,0.731,67.238
396,albifrons,saevasjoen,2013,invertebrate,20.533,12.173,1.666,3.293,5.592,7.314,7.719,7.622,7.008,6.135,4.995,0.405,1.373,1.565,1.621,1.660,1.564,1.428,0.984,0.849,77.867
397,albifrons,saevasjoen,2013,invertebrate,22.077,12.404,1.610,3.334,5.512,7.001,7.359,7.202,6.808,5.886,4.844,0.361,1.279,1.477,1.657,1.756,1.680,1.417,1.178,0.899,80.909
398,albifrons,saevasjoen,2013,invertebrate,21.608,13.254,1.573,3.324,5.454,6.806,7.184,7.065,6.488,5.552,4.498,0.418,1.134,1.346,1.520,1.655,1.482,1.327,1.077,0.942,77.897
399,albifrons,saevasjoen,2013,invertebrate,21.411,11.736,1.591,3.398,5.621,7.155,7.505,7.233,6.704,5.738,4.970,0.236,1.394,1.257,1.474,1.533,1.492,1.395,1.216,0.845,73.303
400,albifrons,saevasjoen,2013,invertebrate,20.738,12.384,1.657,3.429,5.836,7.511,7.993,7.801,7.165,6.067,4.969,0.462,1.560,1.621,1.733,1.579,1.639,1.259,1.040,0.828,81.812
401,albifrons,saevasjoen,2013,invertebrate,20.520,12.368,1.612,3.264,5.513,7.028,7.447,7.465,7.006,6.034,5.156,0.339,1.493,1.612,1.732,1.712,1.514,1.414,1.035,0.698,77.315
402,albifrons,saevasjoen,2013,invertebrate,20.510,11.915,1.647,3.410,5.788,7.315,7.791,7.652,7.097,6.067,4.898,0.338,1.447,1.586,1.646,1.606,1.528,1.271,0.914,0.714,77.264
403,albifrons,saevasjoen,2013,invertebrate,20.566,12.199,1.678,3.330,5.559,7.152,7.603,7.528,6.874,6.033,4.801,0.393,1.559,1.554,1.596,1.754,1.493,1.319,0.950,0.731,77.214
404,albifrons,saevasjoen,2013,invertebrate,19.964,12.060,1.547,3.220,5.429,7.067,7.525,7.410,6.896,5.848,5.048,0.458,1.505,1.467,1.524,1.600,1.505,1.314,1.105,0.820,74.913
405,albifrons,saevasjoen,2013,invertebrate,19.771,11.906,1.686,3.316,5.603,7.211,7.695,7.485,6.843,5.873,4.846,0.427,1.515,1.425,1.425,1.478,1.371,1.136,0.993,0.703,75.446
406,albifrons,saevasjoen,2013,invertebrate,20.087,11.987,1.700,3.351,5.807,7.510,7.937,7.740,7.116,6.080,4.845,0.254,1.583,1.524,1.699,1.681,1.602,1.313,0.996,0.703,79.224
407,albifrons,saevasjoen,2013,invertebrate,19.247,11.664,1.584,3.322,5.594,7.114,7.534,7.325,6.678,5.667,4.672,0.248,1.525,1.604,1.546,1.544,1.468,1.241,0.934,0.745,72.292
408,albifrons,saevasjoen,2013,invertebrate,20.340,12.290,1.513,3.159,5.221,6.545,6.886,6.865,6.450,5.598,4.633,0.340,1.362,1.551,1.721,1.645,1.551,1.324,1.098,0.908,71.547
409,albifrons,saevasjoen,2013,invertebrate,19.239,11.608,1.560,3.254,5.499,7.174,7.630,7.459,6.850,5.880,4.777,0.381,1.447,1.466,1.504,1.580,1.465,1.237,1.047,0.895,72.634
410,albifrons,saevasjoen,2013,invertebrate,19.051,10.481,1.565,3.053,5.267,6.889,7.252,7.252,6.622,5.688,4.752,0.287,1.393,1.413,1.529,1.395,1.279,1.107,0.823,0.611,65.151
411,caudalis,suckowsee,2013,vertebrate,18.871,11.497,NA,3.084,5.583,7.374,8.099,7.984,7.043,5.786,4.750,NA,1.422,1.480,1.507,1.451,1.369,1.214,1.054,0.955,70.695
412,caudalis,suckowsee,2013,vertebrate,19.652,11.919,1.762,3.077,5.770,7.712,8.507,8.352,7.558,6.009,4.938,0.197,1.506,1.468,1.625,1.484,1.365,1.226,1.032,0.950,80.156
413,caudalis,suckowsee,2013,vertebrate,18.899,11.304,1.392,3.050,5.493,7.400,8.177,8.009,7.053,5.782,4.824,0.152,1.314,1.486,1.445,1.449,1.312,1.217,0.990,0.838,73.899
414,caudalis,suckowsee,2013,vertebrate,18.307,11.042,1.495,3.099,5.462,7.325,8.028,8.160,7.286,5.862,4.822,NA,1.531,1.456,1.497,1.508,1.281,1.106,1.049,0.931,71.749
415,caudalis,suckowsee,2013,vertebrate,19.160,11.430,1.667,3.117,5.627,7.567,8.371,8.234,7.352,5.805,4.725,0.139,1.529,1.451,1.413,1.453,1.294,1.176,1.117,0.944,75.897
416,albifrons,suckowsee,2013,vertebrate,19.975,11.854,1.364,3.307,5.564,7.263,7.821,7.686,7.075,5.995,4.969,0.218,1.367,1.502,1.525,1.541,1.443,1.208,1.107,1.074,75.877
417,caudalis,suckowsee,2012,vertebrate,19.378,11.315,NA,3.026,5.678,7.821,8.607,8.422,7.362,5.927,4.945,NA,1.139,1.416,1.555,1.667,1.444,1.334,1.028,0.833,78.275
418,caudalis,suckowsee,2012,vertebrate,19.867,12.487,1.707,3.190,5.982,8.086,8.927,8.706,7.668,6.222,5.199,0.292,1.383,1.595,1.641,1.565,1.507,1.305,1.007,0.842,93.068
419,caudalis,suckowsee,2012,vertebrate,19.569,12.279,1.403,NA,5.600,7.777,8.612,8.430,7.529,6.163,4.999,0.266,1.384,1.465,1.564,1.616,1.381,1.251,1.089,0.915,82.488
420,caudalis,suckowsee,2012,vertebrate,18.812,10.908,1.464,NA,5.390,7.353,8.074,8.036,7.111,5.777,4.760,0.241,1.130,1.426,1.481,1.426,1.280,1.148,0.926,0.778,72.397
421,caudalis,suckowsee,2012,vertebrate,20.354,12.273,1.608,3.125,5.893,7.937,8.847,8.663,7.679,6.205,4.879,0.281,1.253,1.411,1.555,1.568,1.485,1.188,1.045,0.911,85.886
422,caudalis,suckowsee,2012,vertebrate,18.364,11.208,1.536,2.994,5.777,7.828,8.537,8.343,7.388,6.059,4.917,0.200,1.147,1.348,1.554,1.548,1.424,1.220,0.985,0.763,77.071
423,caudalis,suckowsee,2012,vertebrate,19.892,11.760,1.474,3.298,6.087,8.263,9.121,8.911,7.946,6.438,5.245,0.140,1.105,1.438,1.631,1.649,1.562,1.228,1.070,0.947,88.383
424,caudalis,suckowsee,2012,vertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,caudalis,suckowsee,2012,vertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,caudalis,suckowsee,2012,vertebrate,19.543,11.663,1.553,3.038,5.681,7.700,8.539,8.398,7.502,6.037,5.037,0.233,1.412,1.482,1.464,1.608,1.375,1.214,0.946,0.821,79.731
427,caudalis,suckowsee,2012,vertebrate,19.830,11.595,1.643,3.010,5.683,7.768,8.573,8.415,7.504,6.026,5.062,0.214,1.195,1.406,1.445,1.480,1.391,1.176,1.105,0.998,79.777
428,caudalis,suckowsee,2012,vertebrate,19.701,11.506,1.650,3.140,6.030,8.093,9.028,8.835,7.882,6.358,5.237,0.221,1.143,1.423,1.533,1.644,1.466,1.222,0.934,0.912,85.544
429,caudalis,suckowsee,2012,vertebrate,18.752,10.855,1.672,3.078,5.562,7.438,8.188,8.032,7.094,5.860,5.047,0.204,1.144,1.344,1.531,1.453,1.407,1.188,0.984,0.813,72.500
430,caudalis,suckowsee,2012,vertebrate,19.987,11.597,NA,3.283,6.046,8.387,9.365,9.198,8.300,6.833,5.491,NA,1.170,1.362,1.489,1.618,1.489,1.340,1.086,0.872,84.297
431,caudalis,suckowsee,2012,vertebrate,19.062,10.982,1.389,3.241,5.667,7.648,8.574,8.482,7.574,6.148,5.056,0.185,1.308,1.404,1.577,1.577,1.408,1.211,0.962,0.942,76.513
432,caudalis,suckowsee,2012,vertebrate,20.713,12.318,1.620,3.236,6.110,8.388,9.388,9.258,8.169,6.723,5.426,0.148,1.407,1.611,1.629,1.666,1.556,1.296,1.074,0.963,90.030
433,caudalis,suckowsee,2012,vertebrate,21.171,12.779,1.680,3.171,6.255,8.598,9.435,9.230,8.228,6.764,5.557,0.295,1.364,1.449,1.601,1.620,1.550,1.327,1.051,0.895,85.546
434,pectoralis,suckowsee,2012,vertebrate,22.006,12.559,NA,3.206,6.036,7.822,8.608,8.585,7.999,6.972,5.788,NA,1.352,1.426,1.557,1.593,1.687,1.426,1.261,1.130,92.766
435,pectoralis,suckowsee,2012,vertebrate,22.439,12.921,1.640,3.236,6.038,7.885,8.582,8.516,7.749,6.525,5.542,0.214,1.399,1.487,1.618,1.639,1.530,1.423,1.313,1.094,91.666
436,pectoralis,suckowsee,2012,vertebrate,22.211,14.282,1.810,3.300,6.079,7.910,8.609,8.699,8.067,7.005,5.740,0.289,1.466,1.622,1.733,1.800,1.756,1.555,1.356,1.175,93.844
437,pectoralis,suckowsee,2012,vertebrate,21.856,12.354,1.647,3.016,5.890,7.835,8.444,8.482,7.909,6.784,5.588,0.340,1.196,1.502,1.713,1.660,1.624,1.339,1.196,1.071,87.607
438,pectoralis,suckowsee,2012,vertebrate,20.055,11.385,NA,3.137,5.804,7.686,8.432,8.415,7.804,6.767,5.548,NA,1.167,1.354,1.625,1.771,1.667,1.354,1.167,1.000,79.635
439,pectoralis,suckowsee,2012,vertebrate,21.913,12.731,NA,3.248,6.007,7.850,8.482,8.521,7.961,6.979,5.777,NA,1.219,1.459,1.779,1.819,1.679,1.439,1.159,0.999,91.681
440,pectoralis,suckowsee,2012,vertebrate,20.958,12.603,1.751,3.133,5.700,7.383,8.052,8.052,7.502,6.486,5.519,0.233,1.333,1.384,1.583,1.733,1.718,1.467,1.300,1.067,84.274
441,pectoralis,suckowsee,2012,vertebrate,22.178,13.474,1.666,3.165,5.849,7.700,8.476,8.439,7.902,6.958,5.812,0.185,1.297,1.443,1.666,1.814,1.777,1.573,1.295,1.092,93.564
442,pectoralis,suckowsee,2012,vertebrate,22.588,13.547,1.873,3.376,6.192,8.019,8.775,8.697,8.007,6.894,5.701,0.290,1.419,1.419,1.673,1.783,1.800,1.544,1.308,1.145,97.175
443,pectoralis,suckowsee,2012,vertebrate,22.367,13.135,1.822,3.334,5.911,7.689,8.422,8.400,7.690,6.736,5.667,0.283,1.489,1.535,1.711,1.733,1.646,1.357,1.223,1.047,91.356
444,pectoralis,suckowsee,2012,vertebrate,22.992,13.712,1.814,3.300,5.949,7.701,8.373,8.292,7.784,6.784,5.584,0.346,1.500,1.557,1.730,1.672,1.672,1.365,1.172,0.961,94.852
445,pectoralis,suckowsee,2012,vertebrate,21.336,12.547,1.766,3.065,5.870,7.631,8.316,8.215,7.549,6.490,5.509,0.216,1.236,1.412,1.726,1.726,1.631,1.353,1.098,0.941,85.907
446,pectoralis,suckowsee,2012,vertebrate,20.830,12.388,1.795,3.197,5.779,7.593,8.253,8.236,7.531,6.388,5.313,0.241,1.403,1.470,1.585,1.647,1.478,1.384,1.266,0.922,83.500
447,pectoralis,suckowsee,2012,vertebrate,22.997,13.889,1.704,3.156,5.856,7.680,8.328,8.328,7.699,6.752,5.506,NA,1.315,1.508,1.753,1.824,1.631,1.385,1.245,1.192,89.523
448,pectoralis,suckowsee,2012,vertebrate,21.766,12.397,1.687,3.220,5.925,7.698,8.490,8.524,7.938,6.906,5.682,0.258,1.515,1.481,1.636,1.688,1.636,1.328,1.137,0.948,88.145
449,albifrons,suckowsee,2013,vertebrate,19.878,11.872,1.581,3.292,5.541,7.275,7.728,7.595,7.068,5.933,4.871,0.276,1.380,1.437,1.525,1.496,1.379,1.282,1.122,1.045,73.470
450,pectoralis,suckowsee,2012,vertebrate,21.652,12.283,NA,3.230,6.049,7.903,8.609,8.579,8.044,6.895,5.656,NA,1.337,1.334,1.479,1.655,1.603,1.437,1.214,1.091,89.819
451,pectoralis,suckowsee,2012,vertebrate,22.545,13.083,1.668,3.313,6.094,7.964,8.724,8.595,7.833,6.633,5.569,0.214,1.378,1.490,1.644,1.601,1.534,1.379,1.336,1.111,93.300
452,pectoralis,suckowsee,2012,vertebrate,22.497,13.977,1.848,3.267,5.977,7.755,8.488,8.510,7.910,6.910,5.668,0.222,1.467,1.667,1.733,1.756,1.778,1.512,1.333,1.112,94.717
453,pectoralis,suckowsee,2012,vertebrate,22.222,12.558,1.551,3.031,5.988,7.927,8.534,8.563,7.977,6.910,5.654,0.319,1.212,1.455,1.697,1.672,1.648,1.358,1.139,1.018,91.096
454,pectoralis,suckowsee,2012,vertebrate,20.122,11.357,NA,3.058,5.803,7.666,8.454,8.374,7.766,6.727,5.569,NA,1.178,1.355,1.571,1.697,1.529,1.255,1.078,0.941,79.944
455,pectoralis,suckowsee,2012,vertebrate,21.672,12.607,NA,3.204,5.891,7.707,8.356,8.414,7.840,6.891,5.704,NA,1.263,1.460,1.756,1.835,1.697,1.421,1.085,0.987,91.681
456,pectoralis,suckowsee,2012,vertebrate,21.246,12.771,1.808,3.141,5.785,7.528,8.183,8.118,7.597,6.557,5.608,0.250,1.357,1.403,1.627,1.720,1.674,1.447,1.290,1.062,86.994
457,pectoralis,suckowsee,2012,vertebrate,21.698,13.089,1.648,3.004,5.694,7.535,8.286,8.261,7.728,6.759,5.647,0.218,1.284,1.454,1.623,1.793,1.793,1.502,1.284,1.066,90.526
458,pectoralis,suckowsee,2012,vertebrate,22.735,13.583,1.804,3.293,6.278,8.106,8.839,8.840,8.049,6.935,5.851,0.223,1.485,1.483,1.750,1.825,1.777,1.528,1.281,1.158,97.222
459,pectoralis,suckowsee,2012,vertebrate,22.546,13.311,1.876,3.322,5.989,7.819,8.542,8.497,7.775,6.781,5.696,0.249,1.492,1.514,1.695,1.740,1.672,1.424,1.198,0.995,93.290
460,pectoralis,suckowsee,2012,vertebrate,22.674,13.449,1.732,3.114,5.751,7.536,8.146,8.120,7.562,6.575,5.434,0.319,1.571,1.597,1.731,1.731,1.704,1.411,1.145,0.986,90.170
461,pectoralis,suckowsee,2012,vertebrate,21.186,12.205,1.718,3.028,5.722,7.414,8.079,8.026,7.359,6.308,5.323,0.231,1.231,1.461,1.693,1.693,1.590,1.359,1.128,0.923,81.302
462,pectoralis,suckowsee,2012,vertebrate,20.606,12.176,1.740,3.072,5.700,7.447,8.057,8.008,7.341,6.226,5.381,0.227,1.447,1.377,1.517,1.584,1.472,1.380,1.242,0.904,81.330
463,pectoralis,suckowsee,2012,vertebrate,22.705,13.626,1.770,3.272,6.036,7.850,8.553,8.529,7.851,7.007,5.697,NA,1.357,1.551,1.842,1.842,1.673,1.455,1.285,1.185,92.749
464,pectoralis,suckowsee,2012,vertebrate,21.431,12.165,1.693,3.205,5.779,7.540,8.306,8.307,7.764,6.704,5.530,0.252,1.467,1.467,1.603,1.626,1.557,1.332,1.174,0.948,84.819
465,dubia,grundsjoen,2012,vertebrate,16.846,9.764,1.328,2.782,4.600,6.019,6.454,6.401,5.909,5.020,4.109,0.200,0.945,1.091,1.309,1.328,1.273,1.091,0.946,0.892,51.130
466,dubia,grundsjoen,2012,vertebrate,15.618,8.728,1.296,2.767,4.515,5.934,6.549,6.547,5.982,5.218,4.201,0.200,0.927,1.073,1.182,1.218,1.092,0.891,0.727,0.655,47.240
467,dubia,grundsjoen,2012,vertebrate,17.075,10.122,1.413,2.970,4.727,6.120,6.664,6.591,6.012,5.088,4.328,0.254,1.123,1.123,1.395,1.431,1.322,1.123,0.978,0.779,55.275
468,dubia,grundsjoen,2012,vertebrate,15.260,8.584,NA,2.910,4.643,6.215,6.714,6.643,6.018,5.144,4.267,NA,0.876,0.946,1.107,1.143,1.089,0.893,0.714,0.768,46.116
469,dubia,grundsjoen,2012,vertebrate,14.543,8.418,1.273,2.837,4.472,6.126,6.726,6.690,6.072,5.090,4.127,0.127,0.945,1.057,1.170,1.219,1.207,0.944,0.746,0.623,46.498
470,dubia,grundsjoen,2012,vertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,dubia,grundsjoen,2012,vertebrate,15.093,8.410,NA,2.756,4.595,6.204,6.750,6.668,6.093,5.262,4.224,NA,0.967,1.112,1.133,1.220,1.205,0.885,0.723,0.780,46.560
472,dubia,grundsjoen,2012,vertebrate,16.722,9.767,1.387,2.836,4.630,6.221,6.854,6.793,6.221,5.283,4.405,0.144,0.938,1.081,1.286,1.346,1.325,1.205,0.979,0.754,55.988
473,dubia,grundsjoen,2012,vertebrate,15.034,8.601,NA,2.839,4.530,6.131,6.606,6.587,6.112,5.276,4.293,NA,0.836,1.073,1.165,1.292,1.182,1.019,0.803,0.655,48.208
474,dubia,grundsjoen,2012,vertebrate,15.741,8.875,NA,2.823,4.531,6.153,6.716,6.667,6.154,5.168,4.203,NA,0.873,0.982,1.056,1.129,1.185,1.165,0.964,0.800,49.323
475,dubia,grundsjoen,2012,vertebrate,16.303,9.520,1.403,2.899,4.751,6.325,6.937,6.889,6.329,5.342,4.430,0.152,0.949,1.135,1.205,1.392,1.305,1.068,0.864,0.830,55.258
476,dubia,grundsjoen,2012,vertebrate,15.588,8.979,1.434,2.826,4.499,6.115,6.653,6.691,6.153,5.230,4.307,0.135,1.019,0.962,1.154,1.288,1.211,0.942,0.808,0.788,49.684
477,dubia,grundsjoen,2012,vertebrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,dubia,grundsjoen,2012,vertebrate,16.825,9.321,1.352,2.871,4.648,6.296,6.890,6.837,6.411,5.409,4.522,0.113,0.870,1.019,1.057,1.278,1.260,1.075,0.982,0.853,53.716
479,dubia,grundsjoen,2012,vertebrate,16.046,9.215,NA,3.012,4.817,6.525,7.134,7.065,6.578,5.551,4.566,NA,0.791,1.069,1.237,1.361,1.278,0.999,0.861,0.763,53.978
480,dubia,grundsjoen,2012,vertebrate,15.956,9.223,1.322,2.862,4.565,6.250,6.953,6.917,6.302,5.317,4.421,0.158,0.895,1.055,1.193,1.333,1.298,1.088,0.772,0.772,52.761
481,dubia,grundsjoen,2012,vertebrate,16.175,9.179,1.393,2.869,4.606,6.163,6.721,6.688,6.213,5.294,4.311,0.164,0.967,1.066,1.229,1.246,1.213,0.967,0.885,0.738,51.386
482,dubia,grundsjoen,2012,vertebrate,15.814,8.994,1.320,2.663,4.395,5.843,6.370,6.271,5.769,4.841,4.111,0.188,0.969,1.069,1.232,1.271,1.195,1.006,0.818,0.754,47.105
483,dubia,grundsjoen,2012,vertebrate,15.457,8.779,NA,2.790,4.570,6.063,6.668,6.680,6.137,5.173,4.136,NA,0.834,1.000,1.124,1.247,1.198,0.938,0.865,0.815,48.735
484,dubia,grundsjoen,2012,vertebrate,15.598,8.849,1.321,2.905,4.641,6.137,6.716,6.703,6.188,5.220,4.251,0.151,1.056,1.020,1.132,1.295,1.195,0.918,0.805,0.755,49.575
485,dubia,svartsjoen,2012,invertebrate,17.255,10.207,1.340,2.905,4.622,6.169,6.791,6.679,6.340,5.434,4.396,0.113,0.773,1.038,1.302,1.471,1.359,1.264,1.151,0.981,56.557
486,dubia,svartsjoen,2012,invertebrate,17.693,10.810,1.572,3.036,4.789,6.399,6.913,6.853,6.403,5.557,4.558,0.192,1.012,1.250,1.484,1.425,1.442,1.250,1.096,0.904,60.399
487,dubia,svartsjoen,2012,invertebrate,17.458,10.121,1.442,2.868,4.483,5.961,6.519,6.537,6.114,5.269,4.403,0.250,0.961,1.115,1.288,1.346,1.327,1.115,1.038,0.904,54.292
488,dubia,svartsjoen,2012,invertebrate,18.439,10.591,1.568,3.094,4.903,6.491,7.076,7.116,6.626,5.663,4.678,0.207,0.965,1.210,1.437,1.456,1.397,1.153,1.040,0.982,61.986
489,dubia,svartsjoen,2012,invertebrate,17.523,10.369,1.534,3.025,4.783,6.401,6.936,6.879,6.378,5.396,4.475,0.204,0.901,1.124,1.376,1.437,1.435,1.212,1.128,0.857,59.017
490,dubia,svartsjoen,2012,invertebrate,17.445,10.147,1.496,2.998,4.742,6.241,6.834,6.861,6.403,5.519,4.682,0.189,0.887,1.230,1.359,1.442,1.423,1.211,1.019,0.793,57.973
491,dubia,svartsjoen,2012,invertebrate,17.068,10.118,1.341,2.949,4.761,6.250,6.750,6.685,6.198,5.291,4.439,NA,0.779,1.139,1.389,1.458,1.345,1.192,0.985,0.871,56.641
492,dubia,svartsjoen,2012,invertebrate,17.917,10.481,1.500,3.001,4.875,6.625,7.209,7.147,6.584,5.626,4.542,0.230,1.063,1.210,1.292,1.417,1.376,1.104,1.042,0.896,62.091
493,dubia,svartsjoen,2012,invertebrate,17.239,10.112,1.434,3.002,4.589,6.175,6.746,6.750,6.284,5.413,4.480,0.208,0.868,1.170,1.321,1.436,1.416,1.151,0.906,0.869,55.495
494,dubia,svartsjoen,2012,invertebrate,16.576,9.347,1.371,2.842,4.592,6.137,6.727,6.704,6.221,5.362,4.360,0.167,0.932,1.093,1.206,1.336,1.226,1.021,0.872,0.852,51.855
495,dubia,svartsjoen,2012,invertebrate,17.573,10.334,1.417,2.995,4.918,6.655,7.244,7.181,6.535,5.601,4.636,0.189,1.049,1.114,1.261,1.443,1.339,1.188,0.979,0.855,61.054
496,dubia,svartsjoen,2012,invertebrate,17.032,9.890,1.442,2.900,4.675,6.290,6.848,6.849,6.337,5.392,4.363,0.179,1.090,1.125,1.357,1.500,1.303,1.071,0.946,0.839,57.854
497,dubia,svartsjoen,2012,invertebrate,16.989,10.396,1.339,2.765,4.455,5.752,6.305,6.290,5.806,5.001,4.110,0.241,0.929,1.190,1.465,1.355,1.336,1.264,1.074,0.908,53.109
498,dubia,svartsjoen,2012,invertebrate,17.288,10.013,1.419,2.901,4.562,6.072,6.656,6.601,6.153,5.374,4.489,0.194,0.777,1.079,1.486,1.489,1.365,1.117,1.022,0.858,55.263
499,dubia,svartsjoen,2012,invertebrate,17.213,9.740,1.498,2.868,4.522,5.861,6.380,6.358,5.943,5.059,4.137,0.307,0.978,1.055,1.285,1.342,1.152,0.979,1.037,0.864,51.232
500,dubia,svartsjoen,2012,invertebrate,17.826,10.474,1.492,2.965,4.754,6.262,6.912,6.931,6.407,5.477,4.654,0.229,0.965,1.298,1.509,1.439,1.210,1.070,1.018,0.807,58.391
501,dubia,svartsjoen,2012,invertebrate,18.577,11.389,1.492,2.970,4.794,6.255,6.766,6.799,6.396,5.513,4.444,0.194,0.965,1.248,1.475,1.544,1.440,1.299,1.140,0.935,63.014
502,dubia,svartsjoen,2012,invertebrate,16.622,10.101,1.451,2.915,4.575,6.025,6.653,6.668,6.261,5.298,4.359,0.176,0.811,1.085,1.229,1.425,1.320,1.268,1.177,0.928,54.556
503,dubia,svartsjoen,2012,invertebrate,16.101,9.127,1.335,2.880,4.601,6.067,6.665,6.556,6.104,5.264,4.425,0.120,0.856,1.079,1.173,1.322,1.280,1.079,0.946,0.746,50.116
504,dubia,svartsjoen,2012,invertebrate,17.578,10.052,1.372,3.017,4.727,6.234,6.819,6.778,6.261,5.338,4.429,0.163,0.706,1.181,1.426,1.426,1.440,1.222,1.032,0.897,56.182
505,dubia,wei§esmoor,2013,invertebrate,17.376,10.508,1.548,2.877,4.775,6.184,6.714,6.576,6.125,5.169,4.227,0.274,1.253,1.234,1.389,1.448,1.253,1.135,1.037,0.842,57.051
506,dubia,wei§esmoor,2013,invertebrate,16.882,10.108,1.378,2.816,4.500,5.896,6.317,6.183,5.838,4.824,3.964,0.173,1.168,1.283,1.359,1.397,1.244,1.093,0.996,0.804,51.580
507,dubia,wei§esmoor,2013,invertebrate,17.926,10.661,1.368,2.674,4.508,5.913,6.284,6.206,5.739,4.900,4.083,0.176,1.191,1.191,1.406,1.425,1.366,1.230,1.073,0.859,55.424
508,dubia,wei§esmoor,2013,invertebrate,17.506,10.550,1.513,2.861,4.700,6.109,6.715,6.753,6.225,5.209,4.269,0.294,1.214,1.253,1.370,1.351,1.253,1.078,1.077,0.824,57.775
509,dubia,wei§esmoor,2013,invertebrate,16.378,9.961,1.475,2.740,4.483,5.786,6.342,6.227,5.728,4.885,3.909,0.307,1.092,1.207,1.266,1.303,1.208,1.015,0.939,0.785,50.507
510,dubia,wei§esmoor,2013,invertebrate,17.309,10.376,1.424,2.751,4.639,6.102,6.758,6.660,6.101,5.104,4.103,0.250,1.259,1.179,1.270,1.347,1.269,1.115,1.038,0.885,56.247
